loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,zip_code,addr_state,desc,fico_range_low,fico_range_high,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,acc_open_past_24mths,credit_history_years,has_past_delinq,total_pymnt,total_rec_prncp,total_rec_int,recoveries,collection_recovery_fee,funded_amnt
18950.0, 36 months,13.11,639.51,B,B4,10.0,RENT,60500.0,Source Verified,2012-07-01,1,credit_card,19.4,1998-12-01,10.0,0.0,21159.0,68.3,32.0,f,Individual,1.0,0.0,773xx,TX,"  Borrower added on 07/11/12 > My loan would be to refinance high interest credit cards.  My payments are made on time every month, I have never been late on a payment.  I would like to pay off the cards at a faster rate.  Thanks<br>",690.0,694.0,0.0,0.0,999.0,2.0,13.582477754962357,0,,,,,,
8000.0, 36 months,14.09,273.78,B,B5,7.0,MORTGAGE,40000.0,Verified,2013-01-01,1,debt_consolidation,9.75,1985-01-01,9.0,1.0,7049.0,65.9,54.0,f,Individual,8.0,1.0,945xx,CA,  Borrower added on 01/04/13 > I need to pay medical bills and pay off my car<br>,660.0,664.0,0.0,0.0,46.0,5.0,28.0,1,,,,,,
15000.0, 36 months,9.67,481.69,B,B1,7.0,OWN,100000.0,Not Verified,2013-12-01,1,debt_consolidation,6.44,2000-09-01,5.0,0.0,14908.0,69.0,17.0,f,Individual,0.0,0.0,230xx,VA,  Borrower added on 12/07/13 > Pay off old credit card debt. Plan buying a house.<br>,695.0,699.0,0.0,0.0,24.0,2.0,13.24845995893224,1,,,,,,
24000.0, 36 months,6.62,736.89,A,A2,10.0,MORTGAGE,120000.0,Not Verified,2013-01-01,1,debt_consolidation,15.88,1994-02-01,8.0,0.0,12589.0,41.3,20.0,f,Individual,4.0,0.0,210xx,MD,"  Borrower added on 12/25/12 > Consolidating personal debt. (Auto Loan, Tuition Loan, Downpayment for refinance)<br><br>  Borrower added on 12/30/12 > Also, this is my second loan with the Lending Club.  I have a perfect on time payment record.<br>",730.0,734.0,0.0,3.0,60.0,3.0,18.915811088295687,1,,,,,,
8825.0, 36 months,14.09,302.01,B,B5,6.0,MORTGAGE,93000.0,Verified,2012-11-01,1,debt_consolidation,23.15,1992-05-01,6.0,0.0,26607.0,96.3,26.0,f,Individual,6.0,0.0,950xx,CA,  Borrower added on 10/20/12 > It is to pay off my credit card.<br>,700.0,704.0,0.0,0.0,77.0,3.0,20.503764544832308,1,,,,,,
6400.0, 36 months,12.12,212.94,B,B3,3.0,MORTGAGE,65000.0,Verified,2012-08-01,1,home_improvement,14.31,2003-02-01,13.0,0.0,17327.0,36.0,26.0,f,Individual,3.0,0.0,945xx,CA,  Borrower added on 07/24/12 > Looking to do some backyard remodeling. Adding a hot tub and having trees removed<br>,695.0,699.0,0.0,3.0,999.0,9.0,9.49760438056126,0,,,,,,
15000.0, 36 months,6.03,456.54,A,A1,6.0,MORTGAGE,39500.0,Verified,2013-05-01,1,credit_card,22.97,1999-06-01,8.0,0.0,12407.0,26.9,15.0,w,Individual,3.0,0.0,481xx,MI,  Borrower added on 04/28/13 > I am a working professional with a stable job and excellent credit. I have worked hard to lower my credit card debt. I plan in using the loan as a tool to get out of credit card debt faster. Please consider funding my loan to help me reach my goal of being credit card debt free.<br>,775.0,779.0,0.0,0.0,999.0,1.0,13.91649555099247,0,,,,,,
10000.0, 60 months,16.2,244.25,C,C4,9.0,MORTGAGE,41000.0,Verified,2013-09-01,1,debt_consolidation,3.8,1997-01-01,6.0,1.0,5520.0,82.4,14.0,f,Individual,1.0,1.0,531xx,WI,  Borrower added on 09/16/13 > I'm paying over $700 each month to credit cards and tool guys . a payment of $244 each month would change my life . put more food on the table for my son and I . I've been struggling for months and barely getting by . this loan will save me almost $500 a month .<br>,675.0,679.0,0.0,1.0,999.0,2.0,16.6652977412731,0,,,,,,
22450.0, 60 months,19.2,584.84,D,D3,10.0,RENT,51425.0,Source Verified,2013-11-01,1,debt_consolidation,29.4,1996-12-01,12.0,0.0,23656.0,77.8,23.0,f,Individual,0.0,0.0,330xx,FL,  Borrower added on 11/08/13 > Consolidation of debt under a lower interest rate<br>,695.0,699.0,0.0,0.0,999.0,3.0,16.917180013689254,0,,,,,,
7000.0, 36 months,11.14,229.64,B,B2,10.0,MORTGAGE,83440.0,Not Verified,2012-12-01,1,debt_consolidation,16.96,1990-04-01,14.0,0.0,8364.0,70.9,31.0,f,Individual,5.0,0.0,952xx,CA,  Borrower added on 11/23/12 > to pay off credit card debt<br>,705.0,709.0,0.0,1.0,29.0,3.0,22.6694045174538,1,,,,,,
